SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA,,LONG,LAT
980.8443659,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,5,PARQUE CLOUTHIER,"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,parque lineal,,25.68095924,-100.4179616
704.1336795,EA,ESPACIO ABIERTO,PARQUE LAS MITRAS,6,PARQUE LAS MITRAS,"COLONIA SAN PEDRO 400 , SODIO Y POTASIO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68725249,-100.4116712
43372.71985,EA,ESPACIO ABIERTO,CAÃ‘ADA,7,PARQUE LOS ROSALES,"COLONIA SAN PEDRO 400, URANIO Y TUNGSTENO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque urbano,,25.68641241,-100.4141414
1366.943833,EA,ESPACIO ABIERTO,PARQUE,11,PARQUE LA HORMIGA,"COLONIA REVOLUCION 1er SECTOR , EMILIANO ZAPATA Y DIVISION DEL NORTE",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68211747,-100.4117631
8983.865897,EA,ESPACIO ABIERTO,PARQUE,12,PARQUE LOS CIPRESES,"COLONIA REVOUCION 4Âº SECTOR , EMILIANO ZAPATA Y PLAN DE GUADALUPE",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68240996,-100.4096029
1493.555576,EA,ESPACIO ABIERTO,PARQUE,14,PARQUE PONIENTE VERDE,"COLONIA VILLITAS DEL OBISPO , CLOUTHIER Y ANTONIO DE SASEDON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.67685794,-100.400277
504.1625694,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,16,LUIS ECHEVERRIA EN CORREGIDORA Y FRANCISCO VILLA,"COLONIA FRANCISCO VILLA , CALLE FRANCISCO VILLA Y CORREGIDORA",K1,BARRIAL,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.67202392,-100.4027485
5450.964902,EA,ESPACIO ABIERTO,PARQUE,23,PARQUE BUGAMBILIAS,"COLONIA VILLAS DEL OBISPO , PROL. CLOUTHIER Y LANDON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.711355,-100.3725993
50322.55289,PEC,AREA PRESERVACION PLAN METROPOLITANO 2021,AREA PRESERVACION PLAN METROPOLITANO 2021,81,PARQUE RESPLANDOR,"COLONIA EL OBISPO , FRANCISCO I. MADERO Y ANDADOR CORREGIDORA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque urbano,,25.68096203,-100.4016786
3955.916602,EA,ESPACIO ABIERTO,PARQUE Y CANCHAS,98,PARQUE VISTA MONTANIA,"COLONIA VISTA MONTAÃ‘A 5Âº SECTOR , BATALLONES ROJOS Y FELIPE ANGELES",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68565693,-100.4092747
3661.030779,EA,ESPACIO ABIERTO,PARQUE,130,PARQUE VERDE LIMON,"COLONIA VISTA MONTAÃ‘A, EMILIANO ZAPATA Y NICEFORO ZAMBRANO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68264098,-100.4060939
14896.7025,EA,ESPACIO ABIERTO,PARQUE,188,PARQUE SAN EVARISTO,"COLONIA VILLAS DEL OBISPO , CALLE LANDON  Y SAN EVARISTO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.67954759,-100.3985477
10023.98069,EA,ESPACIO ABIERTO,PARQUE Y CANCHAS,228,POLIDEPORTIVO REVOLUCION,COLONIA REVOUCION 4Âº PLATINO ORIENTE Y RODOLFO GAYTAN,K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,parque de barrio,,25.68073476,-100.4121209
112.9853392,EA,ESPACIO ABIERTO,PARQUE,239,PARQUE LINEAL LOS PINOS,"COL. LOS PINOS , CALLE SOFÃA TRAMO ART, 27 A TERMINAL SOFIA LADO ORIENTE",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,parque de bolsillo,,25.67194669,-100.396813
