SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA,LAT,LONG,VALUE
50322.55289,PEC,AREA PRESERVACION PLAN METROPOLITANO 2021,AREA PRESERVACION PLAN METROPOLITANO 2021,81,Parque Resplandor,"COLONIA EL OBISPO , FRANCISCO I. MADERO Y ANDADOR CORREGIDORA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque urbano,25.68096203,-100.4016786,400
43372.71985,EA,ESPACIO ABIERTO,CAÃ‘ADA,7,Parque los Rosales,"COLONIA SAN PEDRO 400, URANIO Y TUNGSTENO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque urbano,25.68641241,-100.4141414,400
15203.51994,EA,ESPACIO ABIERTO,PARQUE,1067,Parque la Fuerza,"COLONIA EL OBISPO , BELISARIO DOMINGUEZ Y MIGUEL ALEMAN",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.6825558,-100.4049984,400
14896.7025,EA,ESPACIO ABIERTO,PARQUE,188,Parque San Evaristo,"COLONIA VILLAS DEL OBISPO , CALLE LANDON  Y SAN EVARISTO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.67954759,-100.3985477,400
14415.41653,EA,ESPACIO ABIERTO,PARQUE,1109,Parque Villitas del Obispo,"COLONIA VILLITAS DEL OBISPO , FRAY JUAN DE ZUMARRAGA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.67679804,-100.4009283,400
11678.8478,EU,EQUIPAMIENTO URBANO,IGLESIA Y PARQUE,1272,Parque la Retama,"COLONIA VISTA MONTAÃ‘A, EMILIANO ZAPATA Y MIGUEL ALEMAN",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68040186,-100.4071316,400
10023.98069,EA,ESPACIO ABIERTO,PARQUE Y CANCHAS,228,Polideportivo Revolucion,COLONIA REVOUCION 4Âº PLATINO ORIENTE Y RODOLFO GAYTAN,K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68073476,-100.4121209,400
8983.865897,EA,ESPACIO ABIERTO,PARQUE,12,Parque los Cipreses,"COLONIA REVOUCION 4Âº SECTOR , EMILIANO ZAPATA Y PLAN DE GUADALUPE",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68240996,-100.4096029,400
7858.975477,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,1114,Unidad San Pedro,UNIDAD HABITACIONAL SAN PEDRO ZINC Y 20 DE NOVIEMBRE,K1,RECREATIVO,ÃREA PÃšBLICA,ABIERTO,Parque lineal,25.68475698,-100.4066554,400
7826.263496,EU,EQUIPAMIENTO URBANO,PARQUE AMANECER,1398,Parque Amanecer,"COLONIA EL OBISPO , EULALIO GUZMAN Y ANDADOR CORREGIDORA",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque urbano,25.67925006,-100.4016691,400
7632.968569,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,1102,Parque San Pedro 400,"COLONIA SAN PEDRO 400, URANIO Y OSMIO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68814187,-100.4125544,400
5890.924917,EA,ESPACIO ABIERTO,PARQUE,1064,Parque Vista de la Montania,"COLONIA SAN PEDRO 400 , PLATINO ORIENTE Y VIRGILIO CARDENAS",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68619786,-100.410611,400
5450.964902,EA,ESPACIO ABIERTO,PARQUE,23,Parque Bugambilias,"COLONIA VILLAS DEL OBISPO , PROL. CLOUTHIER Y LANDON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.67725847,-100.3990287,400
4962.571943,EA,ESPACIO ABIERTO,PARQUE,1068,Lucio Blanco 2° Sector,"COLONIA LUCIO BLANCO , CALLE PLAN DEL RIO Y AV CORREGIDORA",K1,BARRIAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.67283464,-100.4025714,400
3955.916602,EA,ESPACIO ABIERTO,PARQUE Y CANCHAS,98,Parque Vista Montania,"COLONIA VISTA MONTAÃ‘A 5Âº SECTOR , BATALLONES ROJOS Y FELIPE ANGELES",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68565693,-100.4092747,400
3661.030779,EA,ESPACIO ABIERTO,PARQUE,130,Parque Verde Limon,"COLONIA VISTA MONTAÃ‘A, EMILIANO ZAPATA Y NICEFORO ZAMBRANO",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68264098,-100.4060939,400
3020.838474,EA,ESPACIO ABIERTO,PARQUE,260,Parque Lineal Plan de Ayala,"COLONIA PLAN DE AYALA , CALLE PALMAS TRAMO JIMENEZ - LIMITE CON MPIO. SANTA CATARINA",K1,LINEAL,ÃREA PÃšBLICA,ABIERTO,Parque lineal,25.66903339,-100.4087833,400
2999.625293,EA,ESPACIO ABIERTO,CAMELLON,1107,Parque los Girasoles,,K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.67717635,-100.4001194,400
2790.44629,EA,ESPACIO ABIERTO,PARQUE,298,Parque Sedesol (Caniada),"COLONIA VILLAS DEL OBISPO , ALEJANDRO VI Y EULALIO GUZMAN",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque urbano,25.67766826,-100.3981553,400
2785.882422,EA,ESPACIO ABIERTO,PARQUE,464,Parque Fraternidad,"COLONIA SAN PEDRO 400, URANIO Y CLOUTHIER",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque lineal,25.68078883,-100.4151583,400
2782.859874,EA,ESPACIO ABIERTO,PARQUE,253,Lucio Blanco 1er Sector,COLONIA LUCIO BLANCO 1er SECTOR JIMENEZ Y MARIA CANTU TREVIÃ‘O,K1,BARRIAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.66952811,-100.4083287,400
2586.757295,EA,ESPACIO ABIERTO,PARQUE,1098,Parque los Ficus,"COLONIA REVOLUCION 2Âº , EMILIANO ZAPATA Y FLORES MAGON",K1,PRINCIPAL,ÃREA PÃšBLICA,ABIERTO,Parque de barrio,25.68184193,-100.4095258,400
